1	2.500000000000000e-01	2.500000000000000e-01	1,2
2	2.500000000000000e-01	2.500000000000000e-01	2,3
3	2.500000000000000e-01	2.500000000000000e-01	3,4
4	2.500000000000000e-01	2.500000000000000e-01	4,5
5	2.500000000000000e-01	2.500000000000000e-01	5,6
6	2.500000000000000e-01	2.500000000000000e-01	6,7
7	2.500000000000000e-01	2.500000000000000e-01	7,8
8	2.500000000000000e-01	2.500000000000000e-01	8,9
9	2.500000000000000e-01	2.500000000000000e-01	9,10
10	2.500000000000000e-01	2.500000000000000e-01	10,11
11	2.500000000000000e-01	2.500000000000000e-01	11,12
12	2.500000000000000e-01	2.500000000000000e-01	12,13
13	2.500000000000000e-01	2.500000000000000e-01	13,14
14	2.500000000000000e-01	2.500000000000000e-01	14,15
15	2.500000000000000e-01	2.500000000000000e-01	15,16
16	2.500000000000000e-01	2.500000000000000e-01	16,17
17	2.500000000000000e-01	2.500000000000000e-01	17,18
18	2.500000000000000e-01	2.500000000000000e-01	18,19
19	2.500000000000000e-01	2.500000000000000e-01	19,20
20	2.500000000000000e-01	2.500000000000000e-01	20,21
21	2.500000000000000e-01	2.500000000000000e-01	21,22
22	2.500000000000000e-01	2.500000000000000e-01	22,23
23	2.500000000000000e-01	2.500000000000000e-01	23,24
24	2.500000000000000e-01	2.500000000000000e-01	24,25
25	2.500000000000000e-01	2.500000000000000e-01	25,26
26	2.500000000000000e-01	2.500000000000000e-01	26,27
27	2.500000000000000e-01	2.500000000000000e-01	27,28
28	2.500000000000000e-01	2.500000000000000e-01	28,29
29	2.500000000000000e-01	2.500000000000000e-01	29,30
30	2.500000000000000e-01	2.500000000000000e-01	30,31
31	2.500000000000000e-01	2.500000000000000e-01	31,32
32	2.500000000000000e-01	2.500000000000000e-01	32,33
33	2.500000000000000e-01	2.500000000000000e-01	33,34
34	2.500000000000000e-01	2.500000000000000e-01	34,35
35	2.500000000000000e-01	2.500000000000000e-01	35,36
36	2.500000000000000e-01	2.500000000000000e-01	36,37
37	2.500000000000000e-01	2.500000000000000e-01	37,38
38	2.500000000000000e-01	2.500000000000000e-01	38,39
39	2.500000000000000e-01	2.500000000000000e-01	39,40
40	2.500000000000000e-01	2.500000000000000e-01	40,41
41	2.500000000000000e-01	2.500000000000000e-01	41,42
42	2.500000000000000e-01	2.500000000000000e-01	42,43
43	2.500000000000000e-01	2.500000000000000e-01	43,44
44	2.500000000000000e-01	2.500000000000000e-01	44,45
45	2.500000000000000e-01	2.500000000000000e-01	45,46
46	2.500000000000000e-01	2.500000000000000e-01	46,47
47	2.500000000000000e-01	2.500000000000000e-01	47,48
48	2.500000000000000e-01	2.500000000000000e-01	48,49
49	2.500000000000000e-01	2.500000000000000e-01	49,50
50	2.500000000000000e-01	2.500000000000000e-01	50,51
