1	5.051562266771371e-01,5.051730658915952e-03,0.000000000000000e+00
2	3.030937360062822e+00,3.031038395349571e-02,0.000000000000000e+00
3	5.556718493448508e+00,5.556903724807547e-02,0.000000000000000e+00
4	-2.569530404222663e-01,4.349522598528332e-01,0.000000000000000e+00
5	-1.541718242533598e+00,2.609713559116999e+00,0.000000000000000e+00
6	-2.826483444644929e+00,4.784474858381165e+00,0.000000000000000e+00
7	-2.482031862548709e-01,-4.400039905117489e-01,0.000000000000000e+00
8	-1.489219117529226e+00,-2.640023943070493e+00,0.000000000000000e+00
9	-2.730235048803580e+00,-4.840043895629237e+00,0.000000000000000e+00
